"pb","bio1","bio12","bio16","bio17","bio5","bio6","bio7","bio8","biome"
1,263,1639,724,62,338,191,147,261,"1"
1,263,1639,724,62,338,191,147,261,"1"
1,253,3624,1547,373,329,150,179,271,"1"
1,243,1693,775,186,318,150,168,264,"1"
1,243,1693,775,186,318,150,168,264,"1"
1,252,2501,1081,280,326,154,172,270,"1"
1,240,1214,516,146,317,150,168,261,"2"
1,275,2259,956,208,335,231,104,270,"1"
1,271,2212,807,281,327,220,107,266,"1"
1,274,2233,877,230,329,227,102,269,"1"
1,266,2592,872,498,320,214,105,262,"1"
1,274,2233,877,230,329,227,102,269,"1"
1,266,2608,957,306,322,219,103,262,"1"
1,239,1194,540,130,313,165,148,252,"1"
1,251,1617,808,97,312,194,118,246,"1"
1,271,2599,1250,136,325,224,101,267,"1"
1,269,2211,981,196,333,219,114,263,"1"
1,270,2274,1008,191,331,221,110,266,"1"
1,254,2084,1011,137,317,197,119,251,"1"
1,263,1842,818,176,326,204,121,257,"1"
1,260,1945,880,143,324,204,120,256,"1"
1,263,1878,893,122,324,212,112,259,"1"
1,263,1878,893,122,324,212,112,259,"1"
1,260,1882,845,170,324,203,121,255,"1"
1,260,1882,845,170,324,203,121,255,"1"
1,270,2479,1277,154,331,214,117,267,"1"
1,270,2487,1221,182,329,216,113,268,"1"
1,270,2413,1286,140,330,214,116,268,"1"
1,181,1372,650,114,259,86,172,206,"1"
1,258,2677,879,419,313,200,113,259,"1"
1,216,2835,985,267,277,160,117,212,"1"
1,199,2005,657,256,262,143,119,196,"1"
1,261,2192,739,222,306,220,87,260,"1"
1,232,3921,1364,365,290,171,119,229,"1"
1,268,1369,531,88,337,199,137,265,"13"
1,244,1526,631,75,313,174,139,240,"2"
1,254,1499,606,90,325,185,140,251,"13"
1,264,7682,2426,1496,312,218,94,263,"1"
1,251,3719,1469,170,305,204,100,246,"1"
1,263,7091,2065,1372,316,213,104,262,"1"
1,264,7682,2426,1496,312,218,94,263,"1"
1,260,2706,964,170,316,213,103,258,"1"
1,242,2233,793,176,290,198,93,242,"1"
1,272,1656,680,94,335,216,118,270,"1"
1,278,1556,690,52,347,213,134,274,"1"
1,250,2651,926,213,308,197,110,247,"1"
1,150,1053,360,151,206,91,115,148,"1"
